央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226469/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226019/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226473/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226565/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226568/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226537/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226571/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226591/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226476/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221225765/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221225603/index.m3u8

卫视频道,#genre#
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226338/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221225610/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888890/224/3221226307/index.m3u8
